Id,Movie,,,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
178,2015 Oscar Shorts,ShortsHD,ShortsHD,"$2,412,493 ","$416,850 ",280
179,Meru,MusicBox…,Music Box Films,"$2,334,228 ","$91,279 ",176
180,My All-American,ClariusE…,Clarius Entertainment,"$2,246,000 ","$1,392,000 ","1,565"
181,Jem and the Holograms,Universal,Universal Studio,"$2,184,640 ","$1,375,320 ","2,417"
182,Tamasha,UTVCommu…,UTV Communications,"$2,065,487 ","$1,006,059 ",182
183,Cake,CinelouR…,Cinelou Releasing,"$1,951,776 ","$916,179 ",482
184,Old Fashioned,Freestyle…,Freestyle Releasing,"$1,914,090 ","$38,965 ",298
185,Assassination,WellGoUSA,Well Go USA,"$1,904,682 ","$287,700 ",33
186,Game of Thrones: The IMAX Experience,WarnerBros.,Warner Bros.,"$1,896,092 ",$0 ,205
187,Legend,Universal,Universal Studio,"$1,872,994 ","$86,836 ",107
188,Clouds of Sils Maria,IFCFilms,IFC Films,"$1,841,555 ","$61,810 ",183
189,Testament of Youth,SonyPict…,Sony Pictures,"$1,822,250 ","$53,008 ",104
190,Piku,YashRaj…,Yash Raj Films,"$1,801,806 ","$938,938 ",124
191,The Vatican Tapes,Lionsgate,Lionsgate,"$1,784,763 ","$832,271 ",427
192,Saul fia,SonyPict…,Sony Pictures,"$1,777,043 ","$37,930 ",180
193,Meet the Patels,Alchemy,Alchemy,"$1,700,680 ","$72,180 ",90
194,Asterix: Le domaine des dieux,MongrelM…,Mongrel Media,"$1,656,287 ",$0 ,78
195,The Letters,Freestyle…,Freestyle Releasing,"$1,647,416 ","$700,683 ",886
196,The Diary of a Teenage Girl,SonyPict…,Sony Pictures,"$1,477,002 ","$52,334 ",795
197,Infinitely Polar Bear,SonyPict…,Sony Pictures,"$1,430,655 ","$47,398 ",110
198,Lao pao er,ChinaLio…,China Lion Film Distribution,"$1,414,696 ","$286,847 ",32
199,99 Homes,BroadGre…,Broad Green Pictures,"$1,411,927 ","$32,253 ",691
200,Welcome Back,ErosEnte…,Eros Entertainment,"$1,388,365 ","$714,235 ",135
201,The Cokeville Miracle,ExcelEnt…,Excel Entertainment,"$1,348,630 ","$159,468 ",51
202,The Salt of the Earth,SonyPict…,Sony Pictures,"$1,343,349 ","$44,936 ",80
203,Iris,Magnolia…,Magnolia Pictures,"$1,310,678 ","$57,254 ",92
204,Gang jiong,WellGoUSA,Well Go USA,"$1,302,281 ","$537,736 ",34
205,The Wolfpack,Magnolia…,Magnolia Pictures,"$1,301,696 ","$43,920 ",94
206,Xia Luo Te Fan Nao,ChinaLio…,China Lion Film Distribution,"$1,289,195 ","$363,949 ",40
207,71,Roadside…,Roadside Attractions,"$1,270,847 ","$55,761 ",121
208,The Ghouls,ChinaLio…,China Lion Film Distribution,"$1,243,810 ","$279,974 ",27
209,Beyond the Mask,GathrFilms,Gathr Films,"$1,236,094 ","$18,801 ",111
210,Child 44,Lionsgate,Lionsgate,"$1,224,330 ","$621,812 ",510
211,"Ich she, Ich seh",RADiUS-TWC,RADiUS-TWC,"$1,178,196 ","$63,641 ",90
212,Black Sea,FocusFea…,Focus Features,"$1,171,559 ","$37,675 ",353
213,Miss You Already,Roadside…,Roadside Attractions,"$1,162,653 ","$552,506 ",384
214,Where Hope Grows,Roadside…,Roadside Attractions,"$1,156,000 ","$457,287 ",276
215,Veteran,CJEntert…,CJ Entertainment,"$1,155,652 ",$0 ,46
216,Macbeth,Weinstein…,Weinstein Co.,"$1,110,707 ","$69,833 ",108
217,The Overnight,TheOrchard,The Orchard,"$1,109,808 ","$53,022 ",307
218,Timbuktu,CohenMed…,Cohen Media,"$1,076,075 ","$50,000 ",56
219,Dior and I,TheOrchard,The Orchard,"$1,028,953 ","$45,772 ",95
220,5 Flights Up,FocusFea…,Focus Features,"$1,020,921 ","$238,491 ",94
221,Big Stone Gap,Picturehouse,Picturehouse,"$1,009,984 ","$362,422 ",280
222,Faith of Our Fathers,PureFlix…,Pure Flix Entertainment,"$1,004,105 ","$438,186 ",344
223,Gett: The Trial of Viviane Amsalem,MusicBox…,Music Box Films,"$988,150 ","$24,210 ",74
224,Singh Is Bliing,ErosEnte…,Eros Entertainment,"$919,095 ","$487,040 ",135
225,Best of Enemies,Magnolia…,Magnolia Pictures,"$892,802 ","$50,738 ",69
226,ABCD 2,UTVCommu…,UTV Communications,"$892,133 ","$444,195 ",146
227,Mustang,CohenMed…,Cohen Media,"$845,464 ","$20,321 ",57
