Id,Movie,StudioDirty,Studio,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
202,Cafarnaúm,SonyPict…,Sony Pictures,"$1,660,708 ","$24,988 ",136
203,A Private War,AvironPi…,Aviron Pictures,"$1,633,209 ","$60,491 ",865
204,The Bookshop,Greenwich,Greenwich,"$1,588,150 ","$45,348 ",136
205,Hong Hai Xing Dong,WellGoUSA,Well Go USA,"$1,543,547 ","$436,059 ",55
206,Destroyer,Annapurna…,Annapurna Pictures,"$1,533,324 ","$55,347 ",235
207,Thugs of Hindostan,YashRaj…,Yash Raj Films,"$1,449,848 ","$1,185,386 ",377
208,"Don't Worry, He Won't Get Far on Foot",AmazonSt…,Amazon Studios,"$1,441,705 ","$83,339 ",266
209,Finding Your Feet,Roadside…,Roadside Attractions,"$1,418,682 ","$60,132 ",277
210,Little Women,Pinnacle…,Pinnacle Peak,"$1,379,497 ","$705,063 ",643
211,102 Not Out,SonyPict…,Sony Pictures,"$1,339,909 ","$483,681 ",102
212,Baaghi 2,FIP,FIP,"$1,319,579 ","$650,722 ",124
213,Werk ohne Autor,SonyPict…,Sony Pictures,"$1,303,747 ",$0 ,122
214,Maria by Callas,SonyPict…,Sony Pictures,"$1,264,409 ","$91,915 ",149
215,McQueen,Bleecker…,Bleecker Street,"$1,257,275 ","$98,873 ",95
216,The Seagull,SonyPict…,Sony Pictures,"$1,252,960 ","$79,016 ",211
217,The Hows of Us,ABS-CBN,ABS-CBN,"$1,246,444 ","$490,000 ",80
218,Mandy,RLJEnter…,RLJ Entertainment,"$1,233,694 ","$225,723 ",250
219,Beautifully Broken,ArtAffects,Art Affects,"$1,209,645 ","$589,155 ",651
220,Singwa Hamgge: Ingwa Yeon,WellGoUSA,Well Go USA,"$1,200,246 ","$422,671 ",47
221,Andhadhun,ErosEnte…,Eros Entertainment,"$1,193,049 ","$278,677 ",62
222,Lean on Pete,A24,A24,"$1,163,056 ","$46,975 ",187
223,Wildlife,IFCFilms,IFC Films,"$1,050,616 ","$104,589 ",105
224,The Dawn Wall,TheOrchard,The Orchard,"$1,037,023 ","$21,615 ",593
225,Raid,ErosEnte…,Eros Entertainment,"$1,010,385 ","$423,817 ",79
226,L'insulte,CohenMed…,Cohen Media,"$1,000,038 ","$24,600 ",51
227,The Miseducation of Cameron Post,FilmRise,Film Rise,"$905,111 ","$48,638 ",85
228,Kedarnath,PackYourB…,PackYourBag Films,"$893,582 ","$407,119 ",113
229,Un beau soleil intérieur,Sundance…,Sundance Selects,"$892,421 ","$39,699 ",70
230,Nothing Like a Dame,IFCFilms,IFC Films,"$889,343 ","$14,777 ",69
231,The Cakemaker,Strand,Strand,"$874,584 ","$33,384 ",34
232,Mirai no Mirai,GKIDS,GKIDS,"$812,794 ","$63,325 ",780
233,Beast,Roadside…,Roadside Attractions,"$800,365 ","$53,248 ",93
234,Sui Dhaaga: Made in India,YashRaj…,Yash Raj Films,"$790,628 ","$581,950 ",193
