,Id,Movie,,,Domestic Box Office,Opening Weekend Box Office,Max Theater Count
160,161,Robot & Frank,SamuelGo…,Samuel Goldwyn Films,"$3,317,468 ","$35,539 ",209
161,162,Last Ounce of Courage,RockyMou…,Rocky Mountain Pictures,"$3,310,439 ","$1,585,994 ","1,407"
162,163,Celeste and Jesse Forever,SonyPict…,Sony Pictures,"$3,103,407 ","$107,785 ",586
163,164,Jab Tak Hai Jaan,YashRaj…,Yash Raj Films,"$3,047,539 ","$1,283,585 ",164
164,165,Barfi,UTVCommu…,UTV Communications,"$2,804,874 ","$1,061,713 ",132
165,166,The Met: Live in HD - Aida,NCMFathom,NCM Fathom,"$2,800,000 ","$2,600,000 ",800
166,167,Talaash,Reliance…,Reliance Big Pictures,"$2,706,375 ","$1,638,706 ",172
167,168,Samsara,Oscillosc…,Oscilloscope Pictures,"$2,672,413 ","$76,222 ",70
168,169,Girl in Progress,Lionsgate,Lionsgate,"$2,609,412 ","$1,384,078 ",322
169,170,Jiro Dreams of Sushi,Magnolia…,Magnolia Pictures,"$2,552,478 ","$42,035 ",80
170,171,Ruby Sparks,FoxSearc…,Fox Searchlight,"$2,540,106 ","$140,822 ",261
171,172,Dabangg 2,ErosEnte…,Eros Entertainment,"$2,474,674 ",,166
172,173,Omerta,Alliance…,Alliance Atlantis,"$2,462,588 ","$466,164 ",85
173,174,The Queen of Versailles,Magnolia…,Magnolia Pictures,"$2,401,999 ","$51,326 ",96
174,175,Ek Tha Tiger,YashRaj…,Yash Raj Films,"$2,347,774 ","$1,139,340 ",119
175,176,Sleepwalk With Me,IFCFilms,IFC Films,"$2,266,066 ","$68,801 ",135
176,177,De rouille et d’os,SonyPict…,Sony Pictures,"$2,061,449 ","$27,154 ",168
177,178,Hearat Shulayim,SonyPict…,Sony Pictures,"$2,007,451 ","$47,528 ",101
178,179,Agneepath,ErosEnte…,Eros Entertainment,"$1,973,574 ",,132
179,180,English Vinglish,ErosEnte…,Eros Entertainment,"$1,862,086 ",,88
180,181,Crooked Arrows,BrandedE…,#N/A,"$1,832,541 ","$257,364 ",327
181,182,Hysteria,SonyPict…,Sony Pictures,"$1,804,139 ","$35,656 ",218
182,183,We Need to Talk About Kevin,Oscillosc…,Oscilloscope Pictures,"$1,738,692 ","$24,587 ",80
183,184,2012 Oscar Shorts,ShortsIn…,Shorts International,"$1,702,415 ","$412,304 ",146
184,185,Stories We Tell,MongrelM…,Mongrel Media,"$1,602,160 ",,70
185,186,Your Sisters Sister,IFCFilms,IFC Films,"$1,597,486 ","$109,221 ",101
186,187,Housefull 2,ErosEnte…,Eros Entertainment,"$1,586,745 ",,121
187,188,A Late Quartet,Entertain…,Entertainment One,"$1,561,577 ","$75,279 ",100
188,189,En kongelig affære,Magnolia…,Magnolia Pictures,"$1,546,761 ","$38,212 ",56
189,190,Marley,Magnolia…,Magnolia Pictures,"$1,413,480 ","$262,004 ",73
190,191,Le gamin au vélo,IFCFilms,IFC Films,"$1,389,524 ","$45,933 ",86
191,192,Les adieux à la reine,CohenMed…,Cohen Media,"$1,329,660 ","$72,123 ",64
192,193,Air Racers 3D,3DEntert…,3D Entertainment,"$1,309,987 ",,10
193,194,Woman Thou Art Loosed On the 7th Day,Codeblack…,Codeblack Entertainment,"$1,301,562 ","$641,542 ",106
194,195,Killer Joe,LDDistri…,#N/A,"$1,291,645 ","$37,864 ",73
195,196,Bol Bachchan,FoxInter…,#N/A,"$1,257,892 ","$533,965 ",98
196,197,For a Good Time Call,FocusFea…,Focus Features,"$1,251,749 ","$143,935 ",107
197,198,Take This Waltz,Magnolia…,Magnolia Pictures,"$1,239,692 ","$137,019 ",69
